车牌号,预测次数,平均实际等待时间,平均预测等待时间,平均绝对误差,绝对误差标准差,平均相对误差%,相对误差标准差%
冀A33059,2,22.5,30.42,7.91,0.08,35.19,0.76
冀A34312,1,40.0,45.34,5.34,,13.35,
冀A50001,2,35.5,42.05,6.55,3.48,18.36,9.43
冀A6J487,2,18.5,21.92,3.41,0.95,74.34,88.61
冀A760FU,2,12.0,17.62,5.62,2.59,205.7,245.09
冀AB8202,2,4.0,8.66,4.66,1.12,232.43,218.59
冀AK3262,2,33.0,39.64,6.65,0.12,21.46,7.72
冀ALD349,1,3.0,6.45,3.45,,115.0,
冀AX6730,1,55.0,62.59,7.59,,13.8,
冀D6F577,2,14.5,17.7,3.2,0.57,22.19,4.98
冀FV2443,3,20.0,24.91,4.91,3.87,53.21,51.7
冀FV3742,2,8.0,9.5,1.49,1.29,20.43,19.79
冀FZ1368,2,14.5,19.24,4.74,5.06,44.4,19.23
冀G23015,2,572.0,580.97,8.98,1.46,1.72,0.87
冀G74628,1,544.0,536.37,7.63,,1.4,
冀GG2959,3,10.67,13.4,2.73,2.03,69.43,76.91
冀GJ8946,1,2.0,3.87,1.87,,93.5,
冀GN3966,1,473.0,380.8,92.2,,19.49,
宁AK2198,2,2.0,4.27,2.27,1.34,inf,
宁AL0295,2,21.0,24.02,3.02,2.49,13.05,6.58
宁AL5866,2,2.0,3.85,1.85,0.35,131.66,110.78
宁AM7575,1,2.0,3.36,1.36,,68.0,
晋BN2794,1,136.0,135.7,0.3,,0.22,
晋BQ6876,1,1.0,3.04,2.04,,204.0,
晋BZ5916,1,41.0,37.43,3.57,,8.71,
晋HQ3899,1,13.0,16.27,3.27,,25.15,
晋HQ6734,1,11.0,13.31,2.31,,21.0,
晋L39265,1,5.0,7.11,2.11,,42.2,
晋LC7112,3,445.33,439.79,6.78,7.76,13.18,20.64
晋LD8972,1,175.0,172.44,2.56,,1.46,
晋LE0835,3,655.67,649.09,6.58,8.87,0.91,1.13
晋LW7108,2,468.5,459.14,9.35,10.42,1.66,0.74
蒙A3Y877,1,71.0,75.56,4.56,,6.42,
蒙A63909,4,72.0,70.85,3.62,2.84,6.52,3.48
蒙A68000,2,43.0,46.6,3.59,2.54,11.14,5.46
蒙A68440,2,346.0,354.66,8.67,7.29,14.52,17.65
蒙A73054,4,20.5,22.6,2.1,0.55,26.36,26.99
蒙A81816,1,28.0,28.52,0.52,,1.86,
蒙A82693,1,41.0,38.16,2.84,,6.93,
蒙A82964,2,330.5,331.79,3.75,1.82,2.06,2.25
蒙A83367,1,75.0,83.62,8.62,,11.49,
蒙A89459,2,402.0,420.24,19.0,25.8,40.32,50.46
蒙A9U249,3,330.33,312.87,20.03,26.94,10.59,6.82
蒙AK3051,4,51.0,50.71,0.35,0.25,1.32,1.16
蒙AK3907,1,183.0,184.02,1.02,,0.56,
蒙AK4038,6,169.0,166.38,13.31,19.75,21.38,16.9
蒙AK4234,3,208.0,200.48,10.89,14.5,23.21,19.11
蒙AX2786,2,12.5,16.32,3.82,2.42,29.45,4.36
蒙AZ0398,4,182.0,177.37,12.14,14.98,8.22,6.42
蒙AZ2289,2,323.5,301.47,25.2,31.16,26.34,26.81
蒙AZ3055,2,64.0,61.83,5.2,3.07,7.98,4.26
蒙B86771,2,95.5,99.4,3.9,5.13,3.38,4.25
蒙B92350,5,296.8,306.21,11.81,16.5,28.82,31.53
蒙BB1718,4,19.25,18.0,1.63,2.3,,
蒙E27007,2,4.5,6.78,2.28,0.7,64.6,35.21
蒙J03078,1,15.0,14.99,0.01,,0.07,
蒙J16587,1,68.0,63.38,4.62,,6.79,
蒙J29280,1,5.0,4.97,0.03,,0.6,
蒙J51315,1,11.0,12.14,1.14,,10.36,
蒙J62593,2,15.5,15.89,0.39,0.04,,
蒙J81025,2,225.5,228.76,3.26,3.02,2.79,2.15
蒙J88859,6,266.33,268.41,10.33,14.14,18.84,28.37
蒙JC7798,1,25.0,24.9,0.1,,0.4,
蒙K03778D,8,296.88,291.82,14.67,24.21,17.36,21.75
蒙K11932D,1,872.0,799.91,72.09,,8.27,
蒙K18126D,4,16.75,21.93,5.18,2.66,53.07,62.34
蒙K95782,3,17.33,21.32,3.98,1.74,27.54,12.69
蒙K96952,1,121.0,125.87,4.87,,4.02,
蒙K97698,1,180.0,162.06,17.94,,9.97,
蒙K97970,3,250.0,252.19,2.52,2.67,52.3,86.37
蒙K97975,2,1.5,5.1,3.6,2.18,308.5,290.62
蒙K98022,1,39.0,39.08,0.08,,0.21,
蒙KA1879,1,8.0,9.15,1.15,,14.37,
蒙KA1899,1,30.0,36.1,6.1,,20.33,
蒙KA3786,2,7.0,10.88,3.88,1.87,54.39,4.79
蒙KA3826,2,12.5,14.68,2.18,1.12,75.68,89.54
蒙KA5007,1,27.0,31.1,4.1,,15.19,
蒙KA5068,2,15.0,16.75,1.75,2.4,9.76,13.22
蒙KA5108,2,3.0,5.27,2.27,1.33,,
蒙KA5113,3,57.67,61.88,4.21,2.05,14.02,12.99
