提煤单号,车牌号,煤种编号,排队日期,排队时间,实际等待时间,预测等待时间,当前队列长度,同煤种队列,最近平均等待时间,最近等待时间标准差,同煤种平均等待时间,当前时段队列长度,预测误差,绝对误差,相对误差%
TP310202411260849,蒙KD1920,YT04MM,2024-11-26,2024-11-26 10:33:00,6.0,6.22,0,0,,0.0,0.0,0,0.2199997901916504,0.2199997901916504,3.67
TP210202411180062,蒙KC6058,YT02WX,2024-11-19,2024-11-19 10:32:00,5.0,6.81,1,0,6.0,0.0,0.0,1,1.809999942779541,1.809999942779541,36.2
TP310202410180059,蒙KG3561,YT04MM,2024-10-18,2024-10-18 09:18:00,81.0,91.28,2,1,5.5,0.71,6.0,0,10.279998779296875,10.279998779296875,12.69
HP2050202411260202,蒙KJ7284,YT02WX,2024-11-26,2024-11-26 12:24:00,1.0,1.74,3,1,30.67,43.59,5.0,0,0.7400000095367432,0.7400000095367432,74.0
TP310202410200316,蒙KB2168,YT04MM,2024-10-20,2024-10-20 06:49:00,21.0,30.06,4,2,23.25,38.56,43.5,0,9.059999465942383,9.059999465942383,43.14
TP310202411260588,蒙KG6907,YT04MM,2024-11-26,2024-11-26 08:06:00,2.0,2.81,5,3,22.8,33.41,36.0,0,0.809999942779541,0.809999942779541,40.5
HP2050202410260011,蒙J88859,YT02HK,2024-10-26,2024-10-26 09:44:00,2.0,1.71,6,0,19.33,31.07,0.0,1,-0.28999996185302734,0.28999996185302734,14.5
TP310202410230722,蒙KJ6637,YT04MM,2024-10-23,2024-10-23 08:33:00,5.0,7.56,7,4,16.86,29.11,27.5,1,2.559999942779541,2.559999942779541,51.2
TP310202411160681,蒙KG1133,YT04MM,2024-11-16,2024-11-16 07:52:00,7.0,9.51,8,5,15.38,27.27,23.0,0,2.510000228881836,2.510000228881836,35.86
HP2050202410260073,蒙KJ0822,YT02HK,2024-10-30,2024-10-30 05:04:00,117.0,121.42,9,1,14.44,25.66,2.0,0,4.4199981689453125,4.4199981689453125,3.78
TP310202411171666,蒙KB5911,YT04MM,2024-11-17,2024-11-17 18:36:00,12.0,13.16,10,6,24.7,40.46,20.33,0,1.1599998474121094,1.1599998474121094,9.67
TP310202411280398,蒙KB1226,YT04MM,2024-11-28,2024-11-28 06:33:00,10.0,17.76,10,6,25.3,40.2,21.33,1,7.760000228881836,7.760000228881836,77.6
TP310202411150266,蒙KJ2885,YT04MM,2024-11-15,2024-11-15 10:05:00,29.0,33.43,10,7,25.8,39.95,19.71,0,4.430000305175781,4.430000305175781,15.28
TP310202411170224,蒙L67815,YT02WX,2024-11-16,2024-11-16 18:54:00,90.0,97.16,10,1,20.6,35.05,1.0,1,7.160003662109375,7.160003662109375,7.96
TP310202410260211,蒙KG5757,YT04MM,2024-10-26,2024-10-26 07:48:00,2.0,3.69,10,7,29.5,40.41,12.29,1,1.690000057220459,1.690000057220459,84.5
TP310202411140058,蒙KG6907,YT04MM,2024-11-14,2024-11-14 12:47:00,8.0,10.6,10,7,27.6,41.29,9.57,0,2.6000003814697266,2.6000003814697266,32.5
TP310202411280391,蒙KB2245,YT04MM,2024-11-28,2024-11-28 06:32:00,11.0,15.96,10,7,28.2,40.92,10.43,1,4.960000038146973,4.960000038146973,45.09
TP310202411300584,蒙KG6096,YT04MM,2024-11-30,2024-11-30 07:12:00,4.0,5.64,10,8,29.1,40.37,10.5,2,1.6399998664855957,1.6399998664855957,41.0
TP310202411250074,蒙KG5611,YT04MM,2024-11-26,2024-11-26 07:12:00,32.0,34.53,10,8,29.0,40.44,10.38,3,2.529998779296875,2.529998779296875,7.91
